goos: windows
goarch: amd64
pkg: github.com/MongooseMoo/barn/engine
cpu: AMD Ryzen 9 5950X 16-Core Processor
BenchmarkProtectedBuiltinDispatch/Builtin         	     150	   8495571 ns/op	 3040161 B/op	   28031 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     150	   8539646 ns/op	 3040161 B/op	   28031 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     142	  21923298 ns/op	 3040195 B/op	   28032 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     123	   9391037 ns/op	 3040226 B/op	   28032 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     136	   9841227 ns/op	 3040234 B/op	   28032 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     136	   8246566 ns/op	 3040151 B/op	   28031 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     132	   8827965 ns/op	 3040154 B/op	   28031 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     130	   8439456 ns/op	 3040173 B/op	   28031 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     136	   8916732 ns/op	 3040158 B/op	   28031 allocs/op
BenchmarkProtectedBuiltinDispatch/Builtin         	     129	  12896650 ns/op	 3040162 B/op	   28031 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     592	   1838827 ns/op	  342521 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     680	   1877756 ns/op	  342520 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     706	   1754105 ns/op	  342521 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     704	   1732734 ns/op	  342520 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     684	   1693623 ns/op	  342521 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     790	   1590750 ns/op	  342521 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     811	   1616943 ns/op	  342521 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     814	   1555916 ns/op	  342521 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     733	   1697747 ns/op	  342521 B/op	    7035 allocs/op
BenchmarkProtectedBuiltinDispatch/Verb            	     750	   1604739 ns/op	  342521 B/op	    7035 allocs/op
PASS
