goos: windows
goarch: amd64
pkg: barn/vm
cpu: AMD Ryzen 9 5950X 16-Core Processor            
BenchmarkVM/int_arith_1M-32         	      33	  31902827 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      37	  32220338 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      37	  31437335 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      38	  30936618 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      38	  31294866 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      34	  31549565 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      37	  31645568 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      34	  31561991 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      38	  31476537 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      38	  31092371 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      34	  38772779 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      32	  34066956 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      36	  33419897 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      33	  33257524 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      36	  34172219 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      33	  33666436 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      36	  34250697 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      32	  33711534 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      36	  33593389 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      34	  33808191 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      37	  30932846 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      37	  30932446 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      38	  30961329 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      38	  31175750 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      38	  31374705 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      37	  32184876 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      31	  33614406 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      38	  31084313 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      38	  30546371 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      39	  30837903 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/list_iter_1M-32         	      20	  56936285 ns/op	24014580 B/op	      16 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  52837038 ns/op	24011522 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  53240771 ns/op	24011525 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      20	  54016740 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  53070005 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  54621243 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      22	  53137205 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  55182667 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  55567657 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  53840181 ns/op	24011520 B/op	      13 allocs/op
PASS
ok  	barn/vm	50.531s
