goos: windows
goarch: amd64
pkg: barn/vm
cpu: AMD Ryzen 9 5950X 16-Core Processor            
BenchmarkVM/int_arith_1M-32         	      33	  35026000 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      34	  34282591 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      32	  56301712 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      24	  55564104 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      22	  52726177 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      24	  54963104 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      26	  51773208 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      19	  53074042 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      24	  51152983 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      22	  53838745 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      25	  58377428 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      20	  51473395 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      20	  54126200 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      21	  52975257 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      20	  59537900 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      19	  55767726 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      21	  53141200 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      27	  44321341 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      31	  43490429 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      31	  46651965 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/string_concat_10k-32    	    1249	    989935 ns/op	  531899 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1203	   1095757 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1304	    894389 ns/op	  531897 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1152	   1018048 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1196	    958383 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1168	    956803 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1258	    895195 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1185	   1433894 ns/op	  531903 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	     979	   1240204 ns/op	  531899 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1032	   1075912 ns/op	  531897 B/op	   10034 allocs/op
BenchmarkVM/list_append_10k-32      	     676	   1762400 ns/op	 1465889 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     819	   1950980 ns/op	 1465891 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     540	   1987802 ns/op	 1465889 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     751	   1689956 ns/op	 1465890 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     739	   1391497 ns/op	 1465892 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     884	   1462894 ns/op	 1465893 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     721	   1728427 ns/op	 1465889 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     812	   1720236 ns/op	 1465892 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     591	   1694207 ns/op	 1465890 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     565	   1993082 ns/op	 1465891 B/op	   10048 allocs/op
BenchmarkVM/list_index_1M-32        	       8	 142001238 ns/op	  116400 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       7	 153394157 ns/op	  116401 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       8	 140829888 ns/op	  116402 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       8	 138679950 ns/op	  116402 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       8	 144993600 ns/op	  116402 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       9	 142584778 ns/op	  116400 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       8	 142443600 ns/op	  116402 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       8	 152127262 ns/op	  116402 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       8	 144589525 ns/op	  116402 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	       7	 144622629 ns/op	  116401 B/op	    1034 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      63	  20217006 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      51	  23226239 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      50	  20803208 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      61	  18971979 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      57	  19829358 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      58	  19919112 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      57	  22883295 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      61	  20727226 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      58	  21007940 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/builtin_abs_200k-32     	      61	  19109464 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/tostr_200k-32           	      26	  53469288 ns/op	12808107 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      21	  55901629 ns/op	12808077 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      22	  54902332 ns/op	12808078 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      22	  52295595 ns/op	12808060 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      21	  52245024 ns/op	12808088 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      22	  54632259 ns/op	12808068 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      20	  52882340 ns/op	12808326 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      19	  57759511 ns/op	12808083 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      24	  51044904 ns/op	12808102 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      20	  51829740 ns/op	12808099 B/op	  599912 allocs/op
BenchmarkVM/nested_1k-32            	      30	  48537343 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      25	  44843024 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      24	  45056662 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      24	  44243858 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      27	  45098774 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      22	  50739905 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      26	  45202596 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      25	  43435404 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      25	  44101620 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      26	  49077381 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/list_iter_1M-32         	      15	  70668433 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      13	  77816577 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      15	  74921827 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      13	  83319362 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      15	  73489140 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      16	  70188581 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      16	  73186681 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      16	  74877781 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      14	  79163964 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      16	  73771769 ns/op	24011527 B/op	      13 allocs/op
PASS
ok  	barn/vm	120.970s
