goos: windows
goarch: amd64
pkg: barn/vm
cpu: AMD Ryzen 9 5950X 16-Core Processor            
BenchmarkVM/int_arith_1M-32         	      37	  33054462 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      36	  33466258 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      30	  38316263 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      34	  32632759 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      34	  35816362 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      36	  34076733 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      33	  33822533 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      36	  33495600 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      33	  36428118 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/int_arith_1M-32         	      37	  31795154 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      36	  33492572 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      34	  33245879 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      36	  33058611 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      33	  33471779 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      34	  33556018 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      36	  34827567 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      34	  33182018 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      32	  38570878 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      32	  33120388 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/float_arith_1M-32       	      36	  33553453 ns/op	    8816 B/op	      11 allocs/op
BenchmarkVM/string_concat_10k-32    	    1645	    755155 ns/op	  531901 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1452	    746857 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1567	    728033 ns/op	  531901 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1624	    816186 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1544	    729829 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1681	    798106 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1623	    778590 ns/op	  531897 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1666	    796738 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1537	    792598 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/string_concat_10k-32    	    1608	    828943 ns/op	  531898 B/op	   10034 allocs/op
BenchmarkVM/list_append_10k-32      	     938	   1230470 ns/op	 1465893 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	    1056	   1177000 ns/op	 1465892 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     919	   1406510 ns/op	 1465893 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	    1010	   1138943 ns/op	 1465891 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	    1192	   1205511 ns/op	 1465890 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	    1050	   1330327 ns/op	 1465896 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     982	   1184422 ns/op	 1465894 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	    1204	   1140285 ns/op	 1465892 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	    1147	   1316325 ns/op	 1465892 B/op	   10048 allocs/op
BenchmarkVM/list_append_10k-32      	     861	   1666428 ns/op	 1465892 B/op	   10048 allocs/op
BenchmarkVM/list_index_1M-32        	      13	  82179785 ns/op	  116400 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	      14	  79389579 ns/op	  116401 B/op	    1034 allocs/op
BenchmarkVM/list_index_1M-32        	      14	  81151350 ns/op	  116401 B/op	    1034 allocs/op
